"","Overall","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"","","No","Yes","0","1","2","Weak","Strong","High","Low","2","4","6","100","300","500","700","900"
"","","Percent correct","","","","","","","","","","","","","","","",""
"PA-PCA-m","57.6","61.5","53.8","61.9","59.7","51.4","68.8","46.5","74.7","40.5","77.4","57.3","38.2","35.3","55.1","62.6","66.5","68.7"
"PA-PCA-95","55.2","54.6","55.9","60.7","57.4","47.6","69.9","40.6","69.2","41.3","79.1","53","33.7","24.1","52.2","62.3","67.3","70.3"
"PA-PAF-m","26.9","44.8","8.9","34.4","30.4","15.8","27.8","26","36.5","17.2","39.5","23.3","17.9","21.2","26","27","28.7","31.5"
"PA-PAF-95","39.4","58","20.7","45.4","43.5","29.2","42.8","35.9","49.8","29","59.4","35.7","23","25","43","42","42.7","44.1"
"PA-MRFA-ev-m","47.3","45.9","48.6","48.3","48.4","45.2","61.4","33.1","68.4","26.2","63.6","45.6","32.7","33.2","48.3","51","52.1","51.7"
"PA-MRFA-ev-95","42.3","39.3","45.3","42.4","42.8","41.7","61.4","23.2","62.4","22.2","61.4","39","26.5","24.5","45.2","48","47","46.7"
"PA-MRFA-m","50.3","49.8","50.9","53","52","46","67.2","33.4","60.7","40","72.4","46.1","32.6","33.1","50.1","54.7","56.7","57.2"
"PA-MRFA-95","36.2","35.3","37.2","38.8","37.9","31.9","55.9","16.5","47.6","24.9","52.6","32.9","23.1","18.4","36.1","41.6","42.2","42.8"
"RPA-PCA-m","27.8","43.9","11.8","26.5","27.7","29.3","28.9","26.8","31.8","23.9","37.7","27.2","18.6","23.8","30.7","29","27.9","27.8"
"RPA-PCA-95","47.4","61.4","33.4","48.7","48.8","44.7","53.8","41","59.9","34.9","64.5","45.7","32","25.5","50.9","54","53.7","52.9"
"RPA-PAF-m","29.7","45.8","13.6","27.5","29","32.7","31.5","27.9","33.6","25.8","37.3","29.5","22.4","24.8","33.7","31.6","30.4","28.2"
"RPA-PAF-95","43.5","58.4","28.6","44.2","45.5","40.8","49.8","37.2","54.2","32.8","59.7","41.2","29.6","24","47.1","48.1","49.1","49.3"
"CD","45.1","49.3","40.8","54.2","47.9","33.1","55.6","34.5","60.3","29.8","68.1","41.6","25.5","20.8","42.6","49.9","55.1","56.9"
"","","Mean error","","","","","","","","","","","","","","","",""
"PA-PCA-m","-0.18","-0.45","0.1","-0.09","-0.17","-0.27","0.18","-0.53","-0.33","-0.03","0.15","-0.09","-0.6","-0.75","-0.2","-0.04","0.03","0.07"
"PA-PCA-95","-0.7","-0.9","-0.51","-0.5","-0.6","-1.01","-0.34","-1.07","-0.51","-0.9","-0.12","-0.64","-1.36","-1.95","-0.74","-0.42","-0.26","-0.15"
"PA-PAF-m","4.1","2.62","5.58","2.59","2.61","7.09","4.23","3.97","4.12","4.07","1.64","4.3","6.35","2.62","4.74","5.32","4.28","3.52"
"PA-PAF-95","1.18","0.17","2.18","0.58","0.51","2.45","1.32","1.04","1.74","0.61","0.37","1.26","1.9","-1.64","1.15","2.75","1.97","1.67"
"PA-MRFA-ev-m","-0.39","-0.66","-0.12","-0.51","-0.47","-0.19","0.2","-0.98","-0.34","-0.44","0.11","-0.35","-0.93","-0.53","-0.13","-0.27","-0.44","-0.58"
"PA-MRFA-ev-95","-1.07","-1.25","-0.89","-1.05","-1.03","-1.13","-0.57","-1.57","-0.6","-1.54","-0.4","-1.03","-1.78","-1.91","-0.86","-0.8","-0.86","-0.91"
"PA-MRFA-m","-0.47","-0.6","-0.35","-0.4","-0.43","-0.59","-0.03","-0.92","-0.59","-0.36","-0.05","-0.42","-0.95","-0.97","-0.45","-0.35","-0.29","-0.3"
"PA-MRFA-95","-1.17","-1.26","-1.09","-1.02","-1.07","-1.43","-0.72","-1.63","-0.9","-1.44","-0.56","-1.13","-1.83","-2.11","-1.12","-0.93","-0.86","-0.84"
"RPA-PCA-m","2.51","0.76","4.25","3.69","2.72","1.11","2.65","2.36","2.72","2.29","1.28","2.23","4.01","2.39","2.04","2.34","2.77","3"
"RPA-PCA-95","-0.3","-0.77","0.16","0.14","-0.13","-0.92","-0.12","-0.49","0.16","-0.77","0.13","-0.25","-0.79","-1.93","-0.55","0","0.36","0.61"
"RPA-PAF-m","1.67","0.6","2.74","2.68","1.73","0.59","1.84","1.5","2.14","1.2","1.14","1.36","2.5","2.65","0.81","1.23","1.67","1.98"
"RPA-PAF-95","-0.3","-0.83","0.23","0.23","-0.07","-1.05","-0.12","-0.48","0.22","-0.82","0.21","-0.24","-0.86","-1.98","-0.62","-0.05","0.42","0.75"
