"","Overall","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"CD","-1.06","-1.26","-0.86","-0.56","-1.05","-1.57","-0.65","-1.47","-0.54","-1.58","0.06","-0.94","-2.3","-2.18","-1.27","-0.89","-0.59","-0.38"
"","","Root mean squared error","","","","","","","","","","","","","","","",""
"PA-PCA-m","1.23","1.21","1.24","1.04","1.15","1.45","1.04","1.39","0.84","1.52","0.63","1.08","1.72","1.89","1.21","0.98","0.89","0.85"
"PA-PCA-95","1.51","1.61","1.41","1.24","1.37","1.86","1.22","1.76","1.1","1.84","0.55","1.32","2.2","2.62","1.42","1.07","0.89","0.81"
"PA-PAF-m","8.49","7.21","9.61","5.49","5.34","12.56","8.4","8.58","9.05","7.9","2.94","7.81","12.12","7.74","9.05","10.2","8.37","6.7"
"PA-PAF-95","5.2","4.19","6.04","2.3","2.34","8.38","5.05","5.34","6.28","3.82","1.26","4.59","7.64","3.18","4.9","7.75","5.22","3.69"
"PA-MRFA-ev-m","1.65","1.69","1.6","1.52","1.54","1.86","1.54","1.74","0.91","2.14","1.17","1.59","2.05","2.08","1.67","1.5","1.45","1.43"
"PA-MRFA-ev-95","1.76","1.91","1.6","1.66","1.68","1.94","1.32","2.11","1.16","2.2","0.75","1.6","2.49","2.61","1.53","1.42","1.46","1.5"
"PA-MRFA-m","1.27","1.33","1.22","1.13","1.19","1.48","0.95","1.53","1.08","1.44","0.63","1.12","1.79","1.92","1.24","1.06","0.95","0.93"
"PA-MRFA-95","1.76","1.84","1.67","1.54","1.6","2.08","1.38","2.06","1.43","2.03","0.89","1.59","2.43","2.7","1.66","1.43","1.31","1.28"
"RPA-PCA-m","5.86","3.33","7.59","7.34","5.94","3.72","5.81","5.91","5.66","6.06","2.1","4.5","8.85","7.7","5.22","5.01","5.4","5.55"
"RPA-PCA-95","1.73","1.57","1.87","1.64","1.57","1.95","1.6","1.85","1.36","2.03","0.83","1.56","2.41","2.68","1.47","1.24","1.33","1.51"
"RPA-PAF-m","4.47","3.55","5.23","5.77","4.07","3.15","4.54","4.4","4.67","4.26","1.83","3.09","6.85","8.46","2.54","2.39","2.67","2.99"
"RPA-PAF-95","1.83","1.62","2.01","1.79","1.66","2.01","1.7","1.94","1.54","2.08","0.97","1.69","2.49","2.71","1.55","1.4","1.47","1.69"
"CD","2.1","2.13","2.08","1.62","2.08","2.5","1.63","2.49","1.6","2.5","0.74","1.67","3.15","2.83","2.18","1.92","1.73","1.62"
"","","Percent correct (within +-1 range)","","","","","","","","","","","","","","","",""
"PA-PCA-m","83.3","84.2","82.4","86.7","84.7","78.5","88.7","78","92.1","74.6","95.7","85.4","68.8","65.7","82.4","87.8","90.3","90.4"
"PA-PCA-95","78.9","76.1","81.8","83.9","81.4","71.5","87.7","70.1","87.5","70.4","96.8","79.7","60.2","47.9","77.6","86.3","90.5","92.2"
"PA-PAF-m","44.5","64.6","24.3","52.4","49.2","31.8","44.7","44.3","52.7","36.2","61.8","39.9","31.7","44.7","45.2","42.3","44.1","46.1"
"PA-PAF-95","61.8","77.7","45.9","68.5","66.3","50.7","64.9","58.8","69","54.6","85.1","58.2","42.1","48.3","68.6","65.5","63.8","62.9"
"PA-MRFA-ev-m","76.2","73.7","78.6","77.1","77.6","73.9","84.1","68.3","90.3","62","91","76.1","61.4","63","77.4","80.1","80.3","80.2"
"PA-MRFA-ev-95","70.5","66.6","74.3","71","71.6","68.8","83.4","57.5","85.1","55.9","94.2","67.7","49.5","48.4","74","77.4","76.6","76"
"PA-MRFA-m","81.1","79.3","82.8","83.9","83","76.4","90.6","71.5","84.5","77.6","96.5","83.8","62.9","63.7","80.7","84.9","88.1","87.9"
"PA-MRFA-95","67.2","64.8","69.7","71.2","70.2","60.3","80.9","53.6","75.5","59","89.6","65.9","46.2","41.7","67.4","73.9","76.2","76.9"
"RPA-PCA-m","52.9","74.8","31","48.6","51.9","58.2","53.4","52.4","55.3","50.5","65.1","52.1","41.5","50.4","58.2","55.1","51.5","49.3"
"RPA-PCA-95","72.5","79","66.1","73.1","74.8","69.8","76.9","68.2","81.8","63.3","91.1","71.1","55.5","48.6","77.9","81.4","79.1","75.7"
"RPA-PAF-m","56.8","77.8","35.7","51.3","55.3","63.7","58","55.6","58.5","55","66.2","57.2","46.9","51.5","64.3","59.4","56.4","52.3"
"RPA-PAF-95","69.1","77.3","60.8","68.6","71.6","67","73.6","64.6","76.7","61.4","87.7","66.9","52.6","47.5","75","76.3","75.2","71.3"
"CD","66.8","66.7","66.8","75.8","67.2","57.2","76.3","57.2","79","54.6","95.4","62.7","42.3","43.3","64.5","72.1","76.3","77.6"
