"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs",4,110.737321,27.68433,613.961475,0,0.177804,"LARGE",0.203893,0.258387,0.020797,0.169985,0.083277,0.115623,0.120643,0.119893,0.028023,0.219489,0.030982,0.208266,0.158219
"n_factor",2,132.714976,66.357488,1471.624593,0,0.213092,"LARGE",0.177707,0.20916,0.121782,0.148332,0.128815,0.131488,0.219496,0.166012,0.090719,0.136137,0.052706,0.112253,0.247203
"r_factor",1,76.202327,76.202327,1689.955754,0,0.122353,"MEDIUM",0.098005,0.168034,8.9e-05,0.002369,0.214085,0.29606,0.254979,0.384485,0.001297,0.035929,0.00181,0.022907,0.099318
"w_error",1,45.79948,45.79948,1015.705117,0,0.073537,"MEDIUM",0.014968,0.000226,0.347644,0.249552,0.000606,0.004824,1.6e-05,2.4e-05,0.384327,0.109234,0.432355,0.147237,0.020304
"d_skew",2,26.882627,13.441314,298.090963,0,0.043164,"SMALL",0.054361,0.046648,0.10465,0.060625,0.01727,0.010836,0.036455,0.02897,0.007078,0.02463,0.002634,0.013535,0.058662
"w_lambda",1,107.581828,107.581828,2385.865835,0,0.172737,"LARGE",0.188571,0.137952,0.087823,0.083877,0.297448,0.260784,0.090165,0.098332,0.036026,0.107821,0.003768,0.062885,0.206839
"n_obs:n_factor",8,2.333639,0.291705,6.469204,0,0.003747,"",0.000783,0.003237,0.002914,0.004066,0.000195,0.001421,0.001522,0.00496,0.012327,0.009604,0.038726,0.014679,0.018943
"n_obs:r_factor",4,4.944394,1.236098,27.413226,0,0.007939,"",0.005854,0.012219,0.00405,0.001061,0.03349,0.038429,0.029052,0.04568,0.002879,0.003082,0.001302,0.003174,0.006153
"n_obs:w_error",4,21.850857,5.462714,121.147811,0,0.035085,"SMALL",0.005861,0.00236,0.111874,0.112294,0.000403,0.000394,0.000314,0.000495,0.131178,0.069983,0.143847,0.088227,0.011717
"n_obs:d_skew",8,16.474777,2.059347,45.670592,0,0.026452,"SMALL",0.015752,0.00955,0.003648,0.01437,0.026339,0.018384,0.02868,0.029657,0.118266,0.040236,0.072448,0.030382,0.002885
"n_obs:w_lambda",4,1.226992,0.306748,6.802818,3.7e-05,0.00197,"",0.010154,0.004835,0.002587,0.000211,0.031266,0.021724,0.002321,0.003155,0.014977,0.011362,0.032511,0.013583,0.006329
"n_factor:r_factor",2,7.907898,3.953949,87.687598,0,0.012697,"SMALL",0.044556,0.035803,0.000234,3e-05,0.03845,0.009272,0.023213,0.010783,6.5e-05,0.003849,0.000301,0.003534,0.008028
"n_factor:w_error",2,3.242542,1.621271,35.955279,0,0.005206,"",0.010499,0.004977,0.003078,0.003094,0.000117,8e-05,0.000233,0.000331,0.004599,0.007193,0.00507,0.012981,0.016519
"n_factor:d_skew",4,0.213614,0.053403,1.184338,0.318879,0.000343,"",0.001404,0.00139,0.000565,0.000779,0.00273,0.001842,0.001208,0.000719,0.000697,0.000588,0.000758,0.000849,0.006572
"n_factor:w_lambda",2,0.524101,0.262051,5.811553,0.003521,0.000842,"",0.004196,0.001651,0.001332,0.000548,0.004335,0.004627,0.016016,0.006261,0.00025,0.003381,0.00282,0.00632,0.012475
"r_factor:w_error",1,3.635392,3.635392,80.622883,0,0.005837,"",0.015134,0.008089,0.000158,0.006476,0.008418,0.00035,0.000686,0.000708,0.003159,0.008235,0.00393,0.009426,0.001573
"r_factor:d_skew",2,1.540729,0.770364,17.084539,0,0.002474,"",0.004413,0.001528,0.002053,0.001558,0.01929,0.006295,0.005367,0.006805,0.000433,0.000661,0.000214,0.000894,0.000115
"r_factor:w_lambda",1,5.928407,5.928407,131.475576,0,0.009519,"",0.023605,0.008939,0.000926,9e-05,0.014021,0.019634,0.109926,0.046458,2e-06,0.000721,0.000127,0.002359,0.00217
"w_error:d_skew",2,7.24553,3.622765,80.342853,0,0.011634,"SMALL",0.000838,0.000388,0.043796,0.026457,0.000944,0.00011,0.00018,0.000151,0.0394,0.030279,0.041427,0.038582,0.007674
"w_error:w_lambda",1,5.749856,5.749856,127.515812,0,0.009232,"",0.007137,0.000513,0.032516,0.02558,0.000525,0.000594,2.4e-05,0.000241,0.025112,0.029878,0.029127,0.050824,0.007535
"d_skew:w_lambda",2,2.472938,1.236469,27.421447,0,0.003971,"",0.002504,0.002121,0.027107,0.013755,0.011229,0.007242,0.002426,0.003689,0.002078,0.000809,0.000825,0.003353,0.005193
"n_obs:n_factor:r_factor",8,1.400313,0.175039,3.881882,0.000282,0.002248,"",0.005768,0.010081,0.002412,0.00035,0.003783,0.002697,0.003091,0.001758,0.001869,0.002015,0.002165,0.001725,0.005586
"n_obs:n_factor:w_error",8,0.667034,0.083379,1.849119,0.070005,0.001071,"",0.002227,0.001859,0.000732,0.001373,0.000144,0.000122,0.000374,0.000573,0.001416,0.002462,0.001993,0.004063,0.00776
"n_obs:n_factor:d_skew",16,8.210381,0.513149,11.380214,0,0.013183,"SMALL",0.007362,0.011621,0.01144,0.017485,0.00395,0.006985,0.006992,0.014704,0.02072,0.022436,0.011234,0.018,0.007647
"n_obs:n_factor:w_lambda",8,3.285512,0.410689,9.107941,0,0.005275,"",0.002836,0.003782,0.001032,0.00715,0.001287,0.002138,0.001111,0.00096,0.001012,0.012238,0.006022,0.020389,0.02226
"n_obs:r_factor:w_error",4,1.090275,0.272569,6.044815,0.00013,0.001751,"",0.005609,0.003162,0.000382,0.00157,0.00338,0.000506,0.000605,0.000764,0.000896,0.002426,0.001537,0.001901,0.000652
"n_obs:r_factor:d_skew",8,2.872045,0.359006,7.961747,0,0.004611,"",0.009485,0.007697,0.000911,0.000858,0.005485,0.006298,0.004318,0.002729,0.006514,0.00701,0.005867,0.003781,0.001551
"n_obs:r_factor:w_lambda",4,0.134555,0.033639,0.746012,0.561722,0.000216,"",0.001403,0.00016,0.000463,0.001474,0.000472,0.001044,0.007258,0.001796,0.000868,0.005271,0.001308,0.002824,0.002284
