"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs:w_error:d_skew",8,2.6573,0.332163,7.366441,0,0.004267,"",0.000899,0.000859,0.012136,0.008112,0.000305,0.000202,0.000763,0.000577,0.009695,0.012979,0.011149,0.013012,0.003574
"n_obs:w_error:w_lambda",4,1.103347,0.275837,6.117292,0.000116,0.001772,"",0.004663,0.00177,0.009003,0.003801,0.000466,0.000163,0.000119,9.7e-05,0.00331,0.008624,0.005875,0.014704,0.000823
"n_obs:d_skew:w_lambda",8,2.000963,0.25012,5.546974,2e-06,0.003213,"",0.0031,0.00211,0.00653,0.00328,0.002434,0.000661,0.001689,0.00087,0.012482,0.017146,0.00583,0.012941,0.001092
"n_factor:r_factor:w_error",2,0.151955,0.075977,1.684967,0.188072,0.000244,"",0.002626,0.000334,6.2e-05,0.000711,0.000284,0.001002,0.000332,7.5e-05,0.00082,0.001374,0.001566,0.001158,8.7e-05
"n_factor:r_factor:d_skew",4,0.335599,0.0839,1.860663,0.118795,0.000539,"",0.001004,0.000666,0.000251,0.000985,0.002739,0.000232,0.000851,0.000325,0.000246,0.000159,0.000125,0.000188,0.002505
"n_factor:r_factor:w_lambda",2,2.429731,1.214865,26.942335,0,0.003901,"",0.017148,0.010551,0.000197,8.5e-05,0.012289,0.010733,0.006653,0.002644,0.000151,0.000242,0.001464,0.000476,0.004498
"n_factor:w_error:d_skew",4,0.078659,0.019665,0.436107,0.782433,0.000126,"",0.000553,0.000192,0.000304,0.000104,0.000217,0.000108,0.000154,0.00025,0.000603,9.9e-05,0.000394,0.000144,0.002727
"n_factor:w_error:w_lambda",2,0.927138,0.463569,10.280673,5.6e-05,0.001489,"",0.001629,0.001676,0.001434,0.002082,0.000159,0.000171,0.000465,0.000166,0.002839,0.003717,0.005885,0.005325,0.00021
"n_factor:d_skew:w_lambda",4,0.079189,0.019797,0.439047,0.780296,0.000127,"",0.000179,7.9e-05,0.00105,0.001025,9.8e-05,0.00038,0.000136,0.000186,0.000253,0.000189,0.0013,0.000546,0.004351
"r_factor:w_error:d_skew",2,0.043773,0.021886,0.485381,0.616186,7e-05,"",0.000887,0.000416,0.00021,0.00042,0.000429,0.000248,8e-05,6.5e-05,9.4e-05,0.000132,0.00043,5.4e-05,8e-05
"r_factor:w_error:w_lambda",1,0.54381,0.54381,12.0602,0.000631,0.000873,"",0.004753,0.003465,3.2e-05,0.001063,4.9e-05,0.000102,0.00047,1e-05,0.000732,0.001556,0.001514,0.001193,0.000233
"r_factor:d_skew:w_lambda",2,0.173685,0.086842,1.925921,0.148435,0.000279,"",5.9e-05,1.8e-05,0.000767,0.00104,0.001189,0.001676,0.000838,0.000408,0.001195,0.00027,0.001132,0.000139,0.001067
"w_error:d_skew:w_lambda",2,0.392809,0.196405,4.355707,0.014073,0.000631,"",0.001234,0.000415,0.009666,0.001934,1.6e-05,2.2e-05,7.5e-05,1.3e-05,0.002132,0.002777,7.9e-05,0.004143,0.001335
"Residuals",200,9.018263,0.045091,NA,NA,0.01448,"SMALL",0.036381,0.021082,0.021364,0.019991,0.027571,0.014498,0.020711,0.013222,0.02926,0.043781,0.035442,0.047046,0.025254
"method",12,59.227803,4.93565,409.46321,0,0.172912,"LARGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:method",48,25.003132,0.520899,43.213921,0,0.072995,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:method",24,10.364405,0.43185,35.826438,0,0.030258,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:method",12,42.482842,3.540237,293.699239,0,0.124026,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:method",12,44.742454,3.728538,309.320752,0,0.130623,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:method",24,7.080319,0.295013,24.474403,0,0.020671,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_lambda:method",12,21.030927,1.752577,145.3944,0,0.061398,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:n_factor:method",96,4.30348,0.044828,3.718939,0,0.012564,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:r_factor:method",48,8.629314,0.179777,14.914392,0,0.025193,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_error:method",48,16.804064,0.350085,29.043143,0,0.049058,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:d_skew:method",96,6.667124,0.069449,5.761529,0,0.019464,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_lambda:method",48,8.887869,0.185164,15.361263,0,0.025948,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:r_factor:method",24,6.095848,0.253994,21.071401,0,0.017796,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_error:method",24,1.845732,0.076906,6.380107,0,0.005389,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:d_skew:method",48,1.325031,0.027605,2.290105,1e-06,0.003868,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_lambda:method",24,4.122952,0.17179,14.251727,0,0.012037,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_error:method",12,1.331205,0.110934,9.2031,0,0.003886,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:d_skew:method",24,2.049584,0.085399,7.084757,0,0.005984,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_lambda:method",12,9.782395,0.8152,67.629232,0,0.028559,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:d_skew:method",24,6.360949,0.26504,21.98777,0,0.01857,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:w_lambda:method",12,7.63469,0.636224,52.78137,0,0.022289,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:w_lambda:method",24,3.221313,0.134221,11.13505,0,0.009404,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Residuals",3612,43.538878,0.012054,NA,NA,0.127109,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
