"","Overall","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"CD","-0.11","-0.61","0.38","0.03","0.03","-0.41","0.11","-0.34","0.25","-0.48","0.45","0.04","-0.84","-1.4","-0.33","0.13","0.41","0.61"
"","","Root mean squared error","","","","","","","","","","","","","","","",""
"PA-PCA-m","0.96","0.9","1.01","0.96","0.95","0.96","0.75","1.13","0.62","1.21","0.51","0.83","1.35","1.39","0.89","0.8","0.78","0.79"
"PA-PCA-95","1.09","1.16","1.01","1.09","1.07","1.11","0.73","1.35","0.75","1.34","0.41","0.9","1.6","1.82","0.98","0.78","0.71","0.7"
"PA-PAF-m","2.64","1.12","3.55","2.64","2.67","2.59","2.57","2.69","1.73","3.3","1.48","2.56","3.48","2.17","2.5","2.67","2.82","2.94"
"PA-PAF-95","1.83","0.88","2.44","1.85","1.84","1.81","1.7","1.96","1.27","2.26","0.96","1.73","2.49","1.55","1.38","1.76","2.06","2.28"
"PA-MRFA-ev-m","1.56","1.72","1.38","1.53","1.56","1.58","1.16","1.87","0.9","2.01","0.91","1.48","2.06","1.56","1.51","1.52","1.57","1.61"
"PA-MRFA-ev-95","1.69","1.87","1.49","1.67","1.66","1.74","1.05","2.15","1.05","2.15","0.72","1.51","2.41","1.84","1.56","1.64","1.69","1.72"
"PA-MRFA-m","1.06","1.12","1","1.03","1.04","1.11","0.72","1.32","0.97","1.15","0.55","0.93","1.49","1.41","1","0.95","0.94","0.93"
"PA-MRFA-95","1.44","1.52","1.36","1.41","1.4","1.52","0.95","1.81","1.26","1.61","0.82","1.32","1.96","1.9","1.33","1.28","1.3","1.31"
"RPA-PCA-m","8.57","3.92","11.47","8.84","8.75","8.09","8.4","8.74","8.02","9.09","2.49","6.25","13.23","10.12","8.19","8.04","8.09","8.21"
"RPA-PCA-95","1.97","0.98","2.61","1.99","2.02","1.9","1.9","2.03","1.86","2.07","1.05","1.85","2.67","1.8","1.29","1.69","2.21","2.6"
"RPA-PAF-m","3.7","1.34","5.06","3.75","3.79","3.55","3.65","3.75","3.9","3.49","2.08","3.58","4.89","2.93","3.01","3.65","4.15","4.5"
"RPA-PAF-95","2.21","0.98","2.97","2.25","2.27","2.13","2.17","2.26","2.37","2.04","1.33","2.19","2.85","1.72","1.42","2","2.56","2.99"
"CD","1.56","1.38","1.72","1.63","1.52","1.52","1.34","1.75","1.2","1.85","1.05","1.35","2.09","2.24","1.35","1.22","1.3","1.46"
"","","Percent correct (within +-1 range)","","","","","","","","","","","","","","","",""
"PA-PCA-m","88.2","90","86.5","88.2","88.3","88.2","92.6","83.9","95.5","80.9","97.4","90.7","76.6","76.8","89.3","91.6","91.9","91.5"
"PA-PCA-95","87","85.1","88.9","87.3","87.2","86.4","93.9","80.1","93.5","80.5","99.2","89.1","72.8","66.7","88","92.6","93.8","93.8"
"PA-PAF-m","60.8","89.5","32","60.8","60.2","61.4","61.1","60.5","70.8","50.8","72.6","58","51.8","69.4","61.8","58.9","57.2","56.6"
"PA-PAF-95","71.7","92.1","51.2","71.2","71.4","72.3","74.5","68.8","80.1","63.2","86.6","69.7","58.7","74.7","80.9","72.5","66.7","63.5"
"PA-MRFA-ev-m","75.1","71.2","79","76.2","75.8","73.2","87.9","62.3","88.5","61.6","94.8","74.4","56","74.2","78.2","76.1","74.4","72.5"
"PA-MRFA-ev-95","69.5","65.5","73.4","71.1","70.2","67.1","85.1","53.8","84.6","54.3","96.1","67","45.3","65.3","72.8","71","69.6","68.6"
"PA-MRFA-m","85.2","83.2","87.1","86.2","85.8","83.5","94.1","76.3","86.6","83.7","98.1","88.7","68.7","75.6","86.6","87.3","87.8","88.4"
"PA-MRFA-95","73.4","70.9","75.9","74.6","74.3","71.4","87.9","58.9","78.9","67.9","92.8","72.6","54.9","61.3","76.1","77.2","76.4","76.1"
"RPA-PCA-m","45.4","77.4","13.5","45.2","46","45.1","45.5","45.4","46.2","44.6","55.8","44.6","35.9","48.1","46.2","44.9","44.2","43.7"
"RPA-PCA-95","69.1","90.5","47.6","68.7","68.9","69.6","71.4","66.7","73.2","65","84.8","67","55.5","70.9","80.8","70.9","63.2","59.5"
"RPA-PAF-m","48.3","81.2","15.3","48.5","48.6","47.7","49","47.6","46.8","49.8","55.9","46.8","42.1","56.6","48.7","45.7","45.5","44.9"
"RPA-PAF-95","64.5","90.6","38.4","64.3","64.7","64.5","66.7","62.3","65.7","63.2","77.3","62.6","53.5","70.8","75","63.8","57.6","55.1"
"CD","75.1","82.8","67.4","72.2","74.9","78.1","80.2","70","83.5","66.7","85.9","75.8","63.5","59.9","80.7","82.1","78.4","74.4"
