"","Overall","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"","","No","Yes","0","1","2","Weak","Strong","High","Low","2","4","6","100","300","500","700","900"
"","","Percent correct","","","","","","","","","","","","","","","",""
"PA-PCA-m","65.1","71.6","58.6","65.2","65.5","64.6","76.3","53.9","82.1","48.1","82.9","66.4","45.9","47.8","65.1","69.3","70.9","72.3"
"PA-PCA-95","64.4","66.2","62.7","64.6","64.9","63.8","78","50.9","78.5","50.4","85.6","64","43.6","39.3","64.8","70.5","73.2","74.2"
"PA-PAF-m","41.9","72.1","11.7","42.4","41.9","41.4","43.6","40.2","54.9","28.9","51.5","40.5","33.7","40.2","40.6","41.1","42.8","44.9"
"PA-PAF-95","50.4","77.9","22.8","50.7","50","50.3","55.3","45.4","61.7","39","64.2","49","37.9","46.8","54.3","50.4","49.8","50.5"
"PA-MRFA-ev-m","47.2","44.7","49.7","48","47.7","45.8","66.7","27.6","69.3","25","65.5","44.8","31.2","44.9","50","48.7","47","45.3"
"PA-MRFA-ev-95","41","38.2","43.7","41.6","41.4","39.9","62.5","19.4","62.7","19.2","60.4","37.4","25.1","36.5","44","42.6","41.2","40.4"
"PA-MRFA-m","54.7","53.9","55.6","54.9","55.5","53.9","72.4","37.1","64.5","44.9","76.8","51.5","35.9","43.5","55.5","57.5","58.3","58.9"
"PA-MRFA-95","39.7","39.5","39.8","40.2","39.8","39","61.9","17.5","50.7","28.7","54.4","36.7","28","30.6","42.1","42.6","42.3","40.7"
"RPA-PCA-m","25.9","47.2","4.5","25.9","26.3","25.5","26.8","25","28.6","23.1","34.1","25.4","18.2","24.1","25.2","25.4","26.8","27.9"
"RPA-PCA-95","48.5","76.6","20.4","48.6","48.3","48.6","53.3","43.8","56.8","40.2","61.9","47.1","36.5","44.6","53.7","48.8","47.6","47.8"
"RPA-PAF-m","25.7","47.1","4.3","26.3","26.6","24.2","27.1","24.4","26.2","25.2","30.9","25.9","20.3","26.3","25.2","24.9","26","26.3"
"RPA-PAF-95","45.1","74.8","15.5","45.6","45.4","44.4","49.5","40.8","51.6","38.7","55.9","44.5","35.1","42.8","48.2","44.6","44.7","45.3"
"CD","52.3","67.7","36.9","47.4","50.5","59","58.5","46.1","65.7","39","64.9","52.2","39.9","34.3","55","57.3","57.5","57.3"
"","","Mean error","","","","","","","","","","","","","","","",""
"PA-PCA-m","-0.07","-0.37","0.23","-0.06","-0.06","-0.08","0.19","-0.33","-0.23","0.09","0.15","0.02","-0.37","-0.52","-0.1","0.03","0.1","0.15"
"PA-PCA-95","-0.34","-0.58","-0.11","-0.34","-0.33","-0.37","-0.04","-0.65","-0.3","-0.38","0.01","-0.27","-0.78","-1.18","-0.37","-0.15","-0.04","0.03"
"PA-PAF-m","1.46","0.23","2.7","1.47","1.49","1.44","1.54","1.39","0.92","2.01","0.89","1.57","1.93","0.65","1.45","1.64","1.75","1.83"
"PA-PAF-95","0.65","-0.24","1.53","0.65","0.66","0.62","0.77","0.52","0.51","0.78","0.44","0.72","0.77","-0.7","0.52","0.92","1.16","1.33"
"PA-MRFA-ev-m","-0.72","-0.94","-0.49","-0.7","-0.68","-0.78","-0.11","-1.32","-0.43","-1.01","-0.1","-0.69","-1.37","-0.5","-0.58","-0.74","-0.85","-0.92"
"PA-MRFA-ev-95","-1.1","-1.27","-0.94","-1.07","-1.08","-1.15","-0.53","-1.67","-0.58","-1.63","-0.41","-1.06","-1.84","-1.22","-0.98","-1.06","-1.11","-1.15"
"PA-MRFA-m","-0.38","-0.5","-0.26","-0.35","-0.36","-0.42","0.05","-0.81","-0.52","-0.23","-0.05","-0.35","-0.72","-0.64","-0.31","-0.3","-0.32","-0.31"
"PA-MRFA-95","-0.96","-1.03","-0.89","-0.93","-0.93","-1.02","-0.48","-1.44","-0.79","-1.13","-0.51","-0.94","-1.43","-1.36","-0.87","-0.84","-0.86","-0.88"
"RPA-PCA-m","4.7","1.27","8.14","4.86","4.79","4.46","4.73","4.68","4.6","4.81","1.69","3.91","8.51","5.34","4.34","4.46","4.59","4.79"
"RPA-PCA-95","0.62","-0.33","1.57","0.63","0.66","0.58","0.75","0.5","0.92","0.33","0.48","0.69","0.7","-0.86","0.31","0.86","1.26","1.55"
"RPA-PAF-m","2.37","0.57","4.17","2.39","2.41","2.31","2.4","2.34","2.67","2.07","1.51","2.46","3.15","1.27","2.02","2.55","2.89","3.12"
"RPA-PAF-95","0.84","-0.31","1.99","0.85","0.88","0.8","0.95","0.73","1.3","0.38","0.69","0.94","0.89","-0.81","0.48","1.11","1.56","1.87"
