"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs",4,104.557231,26.139308,586.631068,0,0.233662,"LARGE",0.203893,0.258387,NA,0.169985,NA,NA,0.120643,NA,NA,0.219489,NA,0.208266,0.158219
"n_factor",2,97.511059,48.755529,1094.195324,0,0.217916,"LARGE",0.177707,0.20916,NA,0.148332,NA,NA,0.219496,NA,NA,0.136137,NA,0.112253,0.247203
"r_factor",1,42.28658,42.28658,949.016015,0,0.094501,"MEDIUM",0.098005,0.168034,NA,0.002369,NA,NA,0.254979,NA,NA,0.035929,NA,0.022907,0.099318
"w_error",1,25.033292,25.033292,561.809323,0,0.055944,"SMALL",0.014968,0.000226,NA,0.249552,NA,NA,1.6e-05,NA,NA,0.109234,NA,0.147237,0.020304
"d_skew",2,21.91963,10.959815,245.965507,0,0.048986,"SMALL",0.054361,0.046648,NA,0.060625,NA,NA,0.036455,NA,NA,0.02463,NA,0.013535,0.058662
"w_lambda",1,67.572444,67.572444,1516.493669,0,0.151009,"LARGE",0.188571,0.137952,NA,0.083877,NA,NA,0.090165,NA,NA,0.107821,NA,0.062885,0.206839
"n_obs:n_factor",8,2.120445,0.265056,5.948506,1e-06,0.004739,"",0.000783,0.003237,NA,0.004066,NA,NA,0.001522,NA,NA,0.009604,NA,0.014679,0.018943
"n_obs:r_factor",4,2.455748,0.613937,13.778272,0,0.005488,"",0.005854,0.012219,NA,0.001061,NA,NA,0.029052,NA,NA,0.003082,NA,0.003174,0.006153
"n_obs:w_error",4,14.611509,3.652877,81.97965,0,0.032653,"SMALL",0.005861,0.00236,NA,0.112294,NA,NA,0.000314,NA,NA,0.069983,NA,0.088227,0.011717
"n_obs:d_skew",8,6.972057,0.871507,19.558786,0,0.015581,"SMALL",0.015752,0.00955,NA,0.01437,NA,NA,0.02868,NA,NA,0.040236,NA,0.030382,0.002885
"n_obs:w_lambda",4,1.445393,0.361348,8.109551,4e-06,0.00323,"",0.010154,0.004835,NA,0.000211,NA,NA,0.002321,NA,NA,0.011362,NA,0.013583,0.006329
"n_factor:r_factor",2,6.50676,3.25338,73.013943,0,0.014541,"SMALL",0.044556,0.035803,NA,3e-05,NA,NA,0.023213,NA,NA,0.003849,NA,0.003534,0.008028
"n_factor:w_error",2,3.641162,1.820581,40.858365,0,0.008137,"",0.010499,0.004977,NA,0.003094,NA,NA,0.000233,NA,NA,0.007193,NA,0.012981,0.016519
"n_factor:d_skew",4,0.125354,0.031339,0.703314,0.590527,0.00028,"",0.001404,0.00139,NA,0.000779,NA,NA,0.001208,NA,NA,0.000588,NA,0.000849,0.006572
"n_factor:w_lambda",2,0.3425,0.17125,3.843272,0.023023,0.000765,"",0.004196,0.001651,NA,0.000548,NA,NA,0.016016,NA,NA,0.003381,NA,0.00632,0.012475
"r_factor:w_error",1,3.453502,3.453502,77.505174,0,0.007718,"",0.015134,0.008089,NA,0.006476,NA,NA,0.000686,NA,NA,0.008235,NA,0.009426,0.001573
"r_factor:d_skew",2,0.345433,0.172717,3.876191,0.022305,0.000772,"",0.004413,0.001528,NA,0.001558,NA,NA,0.005367,NA,NA,0.000661,NA,0.000894,0.000115
"r_factor:w_lambda",1,3.030536,3.030536,68.012772,0,0.006773,"",0.023605,0.008939,NA,9e-05,NA,NA,0.109926,NA,NA,0.000721,NA,0.002359,0.00217
"w_error:d_skew",2,5.135202,2.567601,57.623346,0,0.011476,"SMALL",0.000838,0.000388,NA,0.026457,NA,NA,0.00018,NA,NA,0.030279,NA,0.038582,0.007674
"w_error:w_lambda",1,3.283883,3.283883,73.698504,0,0.007339,"",0.007137,0.000513,NA,0.02558,NA,NA,2.4e-05,NA,NA,0.029878,NA,0.050824,0.007535
"d_skew:w_lambda",2,0.711869,0.355935,7.988057,0.00046,0.001591,"",0.002504,0.002121,NA,0.013755,NA,NA,0.002426,NA,NA,0.000809,NA,0.003353,0.005193
"n_obs:n_factor:r_factor",8,1.607391,0.200924,4.509232,4.7e-05,0.003592,"",0.005768,0.010081,NA,0.00035,NA,NA,0.003091,NA,NA,0.002015,NA,0.001725,0.005586
"n_obs:n_factor:w_error",8,1.019831,0.127479,2.860944,0.004933,0.002279,"",0.002227,0.001859,NA,0.001373,NA,NA,0.000374,NA,NA,0.002462,NA,0.004063,0.00776
"n_obs:n_factor:d_skew",16,6.080342,0.380021,8.528624,0,0.013588,"SMALL",0.007362,0.011621,NA,0.017485,NA,NA,0.006992,NA,NA,0.022436,NA,0.018,0.007647
"n_obs:n_factor:w_lambda",8,4.111724,0.513965,11.534664,0,0.009189,"",0.002836,0.003782,NA,0.00715,NA,NA,0.001111,NA,NA,0.012238,NA,0.020389,0.02226
"n_obs:r_factor:w_error",4,0.988897,0.247224,5.548325,0.000296,0.00221,"",0.005609,0.003162,NA,0.00157,NA,NA,0.000605,NA,NA,0.002426,NA,0.001901,0.000652
"n_obs:r_factor:d_skew",8,2.065468,0.258183,5.794279,1e-06,0.004616,"",0.009485,0.007697,NA,0.000858,NA,NA,0.004318,NA,NA,0.00701,NA,0.003781,0.001551
"n_obs:r_factor:w_lambda",4,0.164406,0.041101,0.922419,0.451881,0.000367,"",0.001403,0.00016,NA,0.001474,NA,NA,0.007258,NA,NA,0.005271,NA,0.002824,0.002284
"n_obs:w_error:d_skew",8,2.19282,0.274103,6.151542,0,0.0049,"",0.000899,0.000859,NA,0.008112,NA,NA,0.000763,NA,NA,0.012979,NA,0.013012,0.003574
"n_obs:w_error:w_lambda",4,0.700809,0.175202,3.931972,0.004275,0.001566,"",0.004663,0.00177,NA,0.003801,NA,NA,0.000119,NA,NA,0.008624,NA,0.014704,0.000823
"n_obs:d_skew:w_lambda",8,1.836496,0.229562,5.151942,7e-06,0.004104,"",0.0031,0.00211,NA,0.00328,NA,NA,0.001689,NA,NA,0.017146,NA,0.012941,0.001092
"n_factor:r_factor:w_error",2,0.302236,0.151118,3.391465,0.035607,0.000675,"",0.002626,0.000334,NA,0.000711,NA,NA,0.000332,NA,NA,0.001374,NA,0.001158,8.7e-05
"n_factor:r_factor:d_skew",4,0.247316,0.061829,1.387594,0.239554,0.000553,"",0.001004,0.000666,NA,0.000985,NA,NA,0.000851,NA,NA,0.000159,NA,0.000188,0.002505
"n_factor:r_factor:w_lambda",2,1.747466,0.873733,19.608744,0,0.003905,"",0.017148,0.010551,NA,8.5e-05,NA,NA,0.006653,NA,NA,0.000242,NA,0.000476,0.004498
"n_factor:w_error:d_skew",4,0.117268,0.029317,0.657944,0.621935,0.000262,"",0.000553,0.000192,NA,0.000104,NA,NA,0.000154,NA,NA,9.9e-05,NA,0.000144,0.002727
"n_factor:w_error:w_lambda",2,0.953924,0.476962,10.704217,3.8e-05,0.002132,"",0.001629,0.001676,NA,0.002082,NA,NA,0.000465,NA,NA,0.003717,NA,0.005325,0.00021
"n_factor:d_skew:w_lambda",4,0.15161,0.037903,0.850626,0.494693,0.000339,"",0.000179,7.9e-05,NA,0.001025,NA,NA,0.000136,NA,NA,0.000189,NA,0.000546,0.004351
"r_factor:w_error:d_skew",2,0.128032,0.064016,1.436681,0.240158,0.000286,"",0.000887,0.000416,NA,0.00042,NA,NA,8e-05,NA,NA,0.000132,NA,5.4e-05,8e-05
"r_factor:w_error:w_lambda",1,0.854282,0.854282,19.172202,1.9e-05,0.001909,"",0.004753,0.003465,NA,0.001063,NA,NA,0.00047,NA,NA,0.001556,NA,0.001193,0.000233
"r_factor:d_skew:w_lambda",2,0.000807,0.000404,0.009058,0.990984,2e-06,"",5.9e-05,1.8e-05,NA,0.00104,NA,NA,0.000838,NA,NA,0.00027,NA,0.000139,0.001067
"w_error:d_skew:w_lambda",2,0.227476,0.113738,2.552567,0.080417,0.000508,"",0.001234,0.000415,NA,0.001934,NA,NA,7.5e-05,NA,NA,0.002777,NA,0.004143,0.001335
"Residuals",200,8.911668,0.044558,NA,NA,0.019916,"SMALL",0.036381,0.021082,NA,0.019991,NA,NA,0.020711,NA,NA,0.043781,NA,0.047046,0.025254
"method",6,14.973509,2.495585,193.067718,0,0.120017,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:method",24,4.383938,0.182664,14.131571,0,0.035138,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:method",12,2.481794,0.206816,16.000067,0,0.019892,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:method",6,11.289525,1.881588,145.566602,0,0.090489,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:method",6,16.734227,2.789038,215.77033,0,0.134129,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:method",12,1.710955,0.14258,11.030488,0,0.013714,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_lambda:method",6,3.710337,0.61839,47.84091,0,0.029739,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:n_factor:method",48,2.183131,0.045482,3.518648,0,0.017498,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:r_factor:method",24,2.138797,0.089117,6.894386,0,0.017143,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_error:method",24,7.979845,0.332494,25.722937,0,0.063961,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:d_skew:method",48,3.952626,0.082346,6.370621,0,0.031681,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_lambda:method",24,2.497047,0.104044,8.0492,0,0.020015,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:r_factor:method",12,3.211307,0.267609,20.703219,0,0.02574,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_error:method",12,0.899656,0.074971,5.80006,0,0.007211,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:d_skew:method",24,0.924306,0.038513,2.979489,2e-06,0.007409,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_lambda:method",12,3.022881,0.251907,19.488439,0,0.024229,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_error:method",6,0.576206,0.096034,7.429578,0,0.004618,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:d_skew:method",12,0.735712,0.061309,4.743117,0,0.005897,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_lambda:method",6,7.077203,1.179534,91.253125,0,0.056726,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:d_skew:method",12,3.058139,0.254845,19.715753,0,0.024512,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:w_lambda:method",6,6.244654,1.040776,80.518272,0,0.050053,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:w_lambda:method",12,1.631689,0.135974,10.519462,0,0.013078,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Residuals",1806,23.344277,0.012926,NA,NA,0.187111,"LARGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
