"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs",4,11.815814,2.953954,121.080207,0,0.019521,"SMALL",0.08913,0.143329,0.000678,0.008381,0.002357,0.004656,0.023583,0.014734,0.004965,0.011907,0.013412,0.006259,0.086397
"n_factor",2,116.334212,58.167106,2384.22343,0,0.192193,"LARGE",0.191566,0.240914,0.041437,0.090002,0.150422,0.167755,0.271911,0.173321,0.061823,0.087138,0.028115,0.052738,0.100942
"r_factor",1,94.767957,94.767957,3884.463232,0,0.156564,"LARGE",0.137388,0.197895,0.001721,0.015047,0.321949,0.368376,0.37138,0.527117,0.000771,0.012654,0.001145,0.009703,0.04102
"w_error",1,162.087777,162.087777,6643.849137,0,0.267781,"LARGE",0.041318,0.006822,0.61997,0.519879,0.001915,0.003802,0.000424,0.002306,0.764906,0.51261,0.806648,0.553035,0.182098
"d_skew",2,0.078299,0.03915,1.604712,0.203524,0.000129,"",0.000173,0.000138,0.000179,4.2e-05,0.000681,0.000857,0.001168,0.000792,8.8e-05,4e-06,0.000616,0.000408,0.008673
"w_lambda",1,117.861528,117.861528,4831.050327,0,0.194716,"LARGE",0.238587,0.191323,0.133271,0.1058,0.364379,0.332985,0.117006,0.127998,0.00341,0.046495,8.9e-05,0.0169,0.155409
"n_obs:n_factor",8,7.372765,0.921596,37.775472,0,0.01218,"SMALL",0.007204,0.013773,0.000678,0.00648,0.001538,0.005949,0.003031,0.018951,0.00817,0.01355,0.003276,0.01431,0.05163
"n_obs:r_factor",4,0.132645,0.033161,1.359258,0.249466,0.000219,"",0.002503,0.003618,0.002131,0.010589,0.005912,0.006019,0.005051,0.014797,0.000485,0.005758,0.000607,0.00356,0.000467
"n_obs:w_error",4,39.344539,9.836135,403.175349,0,0.065,"MEDIUM",0.01527,0.007515,0.114906,0.152937,0.000818,0.00039,0.000211,0.001321,0.105443,0.145832,0.094826,0.148574,0.079
"n_obs:d_skew",8,0.025644,0.003206,0.131393,0.99781,4.2e-05,"",0.000478,0.000506,8.9e-05,9e-05,0.000291,0.000378,0.000493,0.000439,0.000437,0.000179,0.000534,0.00031,0.003572
"n_obs:w_lambda",4,0.775192,0.193798,7.943624,6e-06,0.001281,"",0.001698,0.000439,0.002926,0.009879,0.014391,0.011342,0.000944,0.000233,0.002061,0.040237,0.002853,0.046715,0.008951
"n_factor:r_factor",2,12.709524,6.354762,260.476637,0,0.020997,"SMALL",0.067167,0.060993,0.000345,0.003414,0.048946,0.014419,0.036273,0.021253,5.9e-05,0.002326,9e-06,0.002602,0.012033
