"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_factor:w_error",2,5.582879,2.791439,114.41888,0,0.009223,"",0.019663,0.011927,0.002881,0.004023,0.001118,5.5e-05,0.001295,0.003603,0.007068,0.005509,0.00313,0.006712,0.044894
"n_factor:d_skew",4,0.065461,0.016365,0.6708,0.612958,0.000108,"",0.000128,0.00017,0.000157,6.6e-05,0.000278,0.000185,0.000517,0.000141,0.000604,0.000151,0.000306,0.000242,0.00311
"n_factor:w_lambda",2,0.907529,0.453765,18.599451,0,0.001499,"",0.003237,0.001965,0.004409,0.005966,0.00675,0.006978,0.012907,0.007353,9.9e-05,0.004727,1e-04,0.012177,0.030958
"r_factor:w_error",1,5.460331,5.460331,223.814617,0,0.009021,"",0.03114,0.019396,0.002393,0.009816,0.002514,2.3e-05,0.000746,0.000553,0.001432,0.011606,0.002454,0.009052,0.008969
"r_factor:d_skew",2,0.236916,0.118458,4.855507,0.008727,0.000391,"",0.000222,0.000488,0.000112,3.9e-05,0.00099,0.000772,0.001246,0.001131,0.000448,0.000275,0.000135,0.000184,0.004014
"r_factor:w_lambda",1,5.289527,5.289527,216.813498,0,0.008739,"",0.016359,0.007478,0.00071,3.4e-05,0.02245,0.035845,0.112661,0.053673,0,0.003411,0.000296,0.003513,0.002041
"w_error:d_skew",2,0.358935,0.179467,7.356228,0.000827,0.000593,"",6.5e-05,1.8e-05,5.1e-05,0.000157,5.7e-05,5e-06,5e-06,0.000336,0.000411,0.00018,0.001075,0.000225,0.022077
"w_error:w_lambda",1,5.036819,5.036819,206.455192,0,0.008321,"",0.031716,0.007444,0.039464,0.015354,0.000505,0.000349,0.000326,0.000555,0.016066,0.042673,0.007607,0.048318,0.015466
"d_skew:w_lambda",2,0.084156,0.042078,1.724744,0.180859,0.000139,"",0.000107,0.000127,9.9e-05,5.7e-05,0.000515,0.000395,0.001066,0.000532,0.000541,2.6e-05,0.000943,0.000213,0.006575
"n_obs:n_factor:r_factor",8,0.342021,0.042753,1.752397,0.088493,0.000565,"",0.003261,0.010582,0.00145,0.003528,0.000534,0.000414,0.002282,0.003347,0.000443,0.000581,0.000713,0.000456,0.002359
"n_obs:n_factor:w_error",8,0.625104,0.078138,3.202815,0.001914,0.001033,"",0.000873,0.001925,0.001962,0.004075,0.000454,0.000422,0.000133,0.000704,0.000773,0.003207,0.001829,0.004263,0.010746
"n_obs:n_factor:d_skew",16,0.133231,0.008327,0.341314,0.992074,0.00022,"",0.000662,0.000522,0.000533,0.000465,0.000385,0.000212,0.000512,0.001411,0.001855,0.000532,0.001252,0.000654,0.001005
"n_obs:n_factor:w_lambda",8,1.733698,0.216712,8.882862,0,0.002864,"",0.007326,0.004603,0.002663,0.004316,0.002592,0.00039,0.005007,0.001045,0.000667,0.001692,0.000666,0.002531,0.015178
"n_obs:r_factor:w_error",4,0.298155,0.074539,3.05528,0.017947,0.000493,"",0.005262,0.005295,0.000297,0.001221,0.00044,0.000343,3e-04,0.000117,0.000113,0.000975,0.000888,0.000927,0.002114
"n_obs:r_factor:d_skew",8,0.036787,0.004598,0.188483,0.992291,6.1e-05,"",0.000201,0.000211,0.000242,0.000139,0.000289,9.9e-05,0.000277,0.000117,0.000299,0.00036,0.000691,0.000311,0.000784
"n_obs:r_factor:w_lambda",4,0.418388,0.104597,4.287347,0.002379,0.000691,"",0.002074,0.00155,0.001431,0.001949,0.000526,0.001164,0.001407,0.000467,0.000781,0.002968,0.000947,0.002146,0.003843
"n_obs:w_error:d_skew",8,0.138066,0.017258,0.7074,0.684835,0.000228,"",0.00025,6.7e-05,0.000241,0.000203,0.00035,0.000436,0.000284,0.000945,0.000518,0.000539,0.000212,0.000677,0.007965
"n_obs:w_error:w_lambda",4,1.353332,0.338333,13.867997,0,0.002236,"",0.011917,0.006635,0.003938,0.001234,0.000217,9.1e-05,0.000224,0.000171,0.000702,0.005936,0.006269,0.009983,0.005005
"n_obs:d_skew:w_lambda",8,0.030795,0.003849,0.157785,0.99582,5.1e-05,"",0.000259,3e-04,0.00043,0.00049,0.000154,0.000128,0.00115,0.000485,9.4e-05,0.000312,0.000367,0.000108,0.005401
"n_factor:r_factor:w_error",2,1.293046,0.646523,26.500461,0,0.002136,"",0.008087,0.002291,0.00141,0.003853,0.00152,0.000518,7e-04,0.000126,0.001373,0.004666,0.001505,0.004787,0.002415
"n_factor:r_factor:d_skew",4,0.100749,0.025187,1.032405,0.391598,0.000166,"",0.000315,0.000218,9.4e-05,4.8e-05,0.000269,0.000106,3.2e-05,0.000397,0.000195,0.000266,5.1e-05,0.000131,0.00411
"n_factor:r_factor:w_lambda",2,3.889327,1.944664,79.710214,0,0.006425,"",0.014962,0.012213,0.000989,0.000768,0.029823,0.023706,0.010876,0.006473,1.7e-05,0.00029,0.000102,0.00031,0.001335
"n_factor:w_error:d_skew",4,0.006546,0.001637,0.067079,0.991699,1.1e-05,"",3.9e-05,3.3e-05,3.7e-05,8.5e-05,1e-04,4e-05,0.00021,0.000231,7.9e-05,0.000118,0.000107,9.4e-05,0.00264
"n_factor:w_error:w_lambda",2,1.870473,0.935236,38.334593,0,0.00309,"",0.004392,0.004,0.003976,0.003531,4e-04,9.4e-05,0.000748,0.000327,0.00015,0.00548,0.001438,0.006323,0.007364
"n_factor:d_skew:w_lambda",4,0.070965,0.017741,0.727199,0.574318,0.000117,"",0.000457,0.000128,6.5e-05,1.5e-05,0.000507,0.000112,0.000173,0.000299,0.000118,0.000119,0.00016,0.000106,0.00063
"r_factor:w_error:d_skew",2,0.03978,0.01989,0.815266,0.443987,6.6e-05,"",0.000126,0.000167,2e-05,0.000212,5.5e-05,0.000141,0.000335,0.000187,7.7e-05,0.000334,0.000139,8.3e-05,0.000628
"r_factor:w_error:w_lambda",1,1.424144,1.424144,58.374528,0,0.002353,"",0.017048,0.012555,5e-05,0.001494,0.000381,0.000315,0.001854,0.000475,2.6e-05,0.002835,0.000296,0.003892,0.00238
"r_factor:d_skew:w_lambda",2,0.06677,0.033385,1.368419,0.256881,0.00011,"",0.000129,0.000217,0.000143,0.000414,0.000496,0.000453,0.000773,6.1e-05,0.000149,6.7e-05,0.000142,0.000358,0.001122
"w_error:d_skew:w_lambda",2,0.220905,0.110452,4.527353,0.01194,0.000365,"",7e-06,4.5e-05,0.000135,0.000122,1.7e-05,5.7e-05,0.000138,0.000348,0.00048,0.000353,0.00193,0.00065,0.012219
"Residuals",200,4.879333,0.024397,NA,NA,0.008061,"",0.027237,0.020164,0.011286,0.013788,0.011715,0.009224,0.010343,0.011129,0.011804,0.021121,0.012121,0.02546,0.04246
"method",12,127.030555,10.58588,980.540901,0,0.239351,"LARGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:method",48,20.536056,0.427835,39.629133,0,0.038694,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:method",24,13.810748,0.575448,53.302149,0,0.026022,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:method",12,60.61834,5.051528,467.909175,0,0.114217,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:method",12,127.173544,10.597795,981.644623,0,0.23962,"LARGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:method",24,1.011247,0.042135,3.902876,0,0.001905,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_lambda:method",12,38.40597,3.200498,296.453279,0,0.072365,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:n_factor:method",96,4.272628,0.044507,4.122519,0,0.008051,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:r_factor:method",48,4.826712,0.100557,9.314271,0,0.009095,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_error:method",48,29.298769,0.610391,56.538842,0,0.055205,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:d_skew:method",96,0.568295,0.00592,0.548329,0.999893,0.001071,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_lambda:method",48,11.7749,0.24531,22.722428,0,0.022186,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:r_factor:method",24,8.809616,0.367067,34.000437,0,0.016599,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_error:method",24,3.159406,0.131642,12.193627,0,0.005953,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:d_skew:method",48,0.393202,0.008192,0.758776,0.888281,0.000741,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_lambda:method",24,7.121559,0.296732,27.485433,0,0.013418,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_error:method",12,2.720218,0.226685,20.997193,0,0.005125,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:d_skew:method",24,0.544179,0.022674,2.10024,0.001332,0.001025,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_lambda:method",12,13.564811,1.130401,104.705928,0,0.025559,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:d_skew:method",24,1.593491,0.066395,6.150028,0,0.003002,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:w_lambda:method",12,13.743232,1.145269,106.083145,0,0.025895,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:w_lambda:method",24,0.756697,0.031529,2.920449,3e-06,0.001426,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Residuals",3612,38.995005,0.010796,NA,NA,0.073474,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
