"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs",4,79.666115,19.916529,697.95221,0,0.145156,"LARGE",0.14882,0.207235,0.009897,0.104781,0.09239,0.132437,0.095138,0.106444,0.043148,0.208316,0.042564,0.18647,0.145472
"n_factor",2,175.720597,87.860298,3078.964715,0,0.320173,"LARGE",0.242542,0.274859,0.239343,0.332118,0.174841,0.189192,0.298759,0.255184,0.225357,0.225778,0.146443,0.217175,0.33638
"r_factor",1,73.591975,73.591975,2578.947467,0,0.134089,"MEDIUM",0.115646,0.183231,0.006592,0.020719,0.119282,0.234299,0.260855,0.329759,0.010205,0.048632,0.014544,0.040482,0.095106
"w_error",1,12.942611,12.942611,453.559142,0,0.023582,"SMALL",0.007087,7e-06,0.185044,0.108999,0.002955,0.001313,4.8e-05,4.3e-05,0.283807,0.024589,0.209566,0.022134,0.003149
"d_skew",2,16.303955,8.151978,285.67683,0,0.029707,"SMALL",0.02821,0.033463,0.032479,0.068228,0.015314,0.009371,0.014962,0.018082,0.001486,0.030816,0.000834,0.031582,0.063253
"w_lambda",1,122.564625,122.564625,4295.138579,0,0.22332,"LARGE",0.243685,0.168941,0.03648,0.066188,0.367815,0.278607,0.120346,0.134755,0.058476,0.241473,0.048656,0.215757,0.21779
"n_obs:n_factor",8,1.61402,0.201753,7.070188,0,0.002941,"",0.001474,0.003078,0.031981,0.001587,0.003445,0.006923,0.000925,0.004136,0.024582,0.00737,0.045514,0.006345,0.007695
"n_obs:r_factor",4,2.542552,0.635638,22.275216,0,0.004633,"",0.002281,0.015406,0.017994,0.010677,0.005067,0.024934,0.015334,0.038595,0.003133,0.002669,0.003544,0.001363,0.009029
"n_obs:w_error",4,7.278323,1.819581,63.765145,0,0.013262,"SMALL",0.004169,0.000572,0.077179,0.066429,0.001123,0.000231,0.000221,0.000104,0.096941,0.019693,0.089576,0.020318,0.002294
"n_obs:d_skew",8,0.553465,0.069183,2.424445,0.016046,0.001008,"",0.000592,0.001378,0.036011,0.002658,0.003442,0.010719,0.000247,0.001429,0.024025,0.005618,0.027687,0.003893,0.00806
"n_obs:w_lambda",4,2.483722,0.62093,21.759802,0,0.004526,"",0.019794,0.005271,0.000513,0.007632,0.034013,0.019253,0.004394,0.001369,0.02139,0.01193,0.027238,0.012963,0.015062
"n_factor:r_factor",2,7.625496,3.812748,133.613444,0,0.013894,"SMALL",0.039449,0.022184,0.002807,0.001819,0.037082,0.012435,0.025331,0.008632,0.003061,0.004129,0.004589,0.003906,0.004109
"n_factor:w_error",2,3.311402,1.655701,58.02217,0,0.006034,"",0.007168,0.002798,0.019057,0.007424,0.001282,0.000171,0.000349,0.000242,0.017725,0.008841,0.01941,0.010286,0.005192
"n_factor:d_skew",4,0.280383,0.070096,2.456426,0.046956,0.000511,"",0.000391,0.000383,0.01829,0.003717,0.000408,0.000432,0.000177,0.001176,0.001039,0.001895,0.02074,0.006707,0.000469
"n_factor:w_lambda",2,1.318457,0.659229,23.101921,0,0.002402,"",0.012685,0.00517,0.002201,0.004811,0.008059,0.007044,0.022213,0.00877,0.002777,0.005036,0.013833,0.006341,0.003583
"r_factor:w_error",1,2.400324,2.400324,84.116623,0,0.004374,"",0.008272,0.003102,0.000405,0.003647,0.017028,0.001959,0.001259,0.000237,0.008101,0.004162,0.00532,0.004264,0.000459
"r_factor:d_skew",2,0.175845,0.087922,3.081143,0.048093,0.00032,"",0.000982,0.000576,0.002107,0.004457,0.014548,0.007668,0.001393,0.003399,0.003137,0.000609,0.001334,0.000969,0.000392
"r_factor:w_lambda",1,9.513303,9.513303,333.38292,0,0.017334,"SMALL",0.049719,0.017785,0.009398,0.001398,0.023232,0.01751,0.102821,0.054907,0.001074,1.3e-05,0.00022,0.000564,0.005197
"w_error:d_skew",2,2.616966,1.308483,45.854304,0,0.004768,"",0.000161,3.4e-05,0.048777,0.029428,0.001849,0.001165,2e-05,5.3e-05,0.037559,0.008166,0.03933,0.015245,0.001645
"w_error:w_lambda",1,3.446051,3.446051,120.762972,0,0.006279,"",0.001348,0,0.014432,0.015536,0.002215,0.000748,6.4e-05,0.000115,0.036447,0.021125,0.0432,0.023551,0.003138
"d_skew:w_lambda",2,0.193871,0.096935,3.39699,0.035417,0.000353,"",0.000497,0.00023,0.01052,0.006512,0.006799,0.003789,1.4e-05,0.000126,0.011848,0.002935,0.014464,0.006041,0.013193
"n_obs:n_factor:r_factor",8,2.027042,0.25338,8.879424,0,0.003693,"",0.006922,0.011542,0.006154,0.005275,0.003597,0.005972,0.004901,0.00537,0.003808,0.003002,0.005918,0.003687,0.004014
"n_obs:n_factor:w_error",8,0.594467,0.074308,2.604055,0.009924,0.001083,"",0.001246,0.001109,0.002431,0.002164,0.000448,0.000414,0.000158,0.000411,0.002917,0.002438,0.004223,0.003673,0.002241
"n_obs:n_factor:d_skew",16,1.363988,0.085249,2.987464,0.000176,0.002485,"",0.00117,0.002082,0.044541,0.010132,0.000799,0.00404,0.003073,0.004612,0.002088,0.004334,0.031809,0.01676,0.00247
"n_obs:n_factor:w_lambda",8,4.43756,0.554695,19.438658,0,0.008086,"",0.005459,0.005484,0.003946,0.008966,0.005859,0.004338,0.00146,0.00248,0.003549,0.020902,0.013004,0.026062,0.012448
"n_obs:r_factor:w_error",4,0.458662,0.114666,4.018322,0.003708,0.000836,"",0.001872,0.001669,0.000415,0.000353,0.003162,0.000348,5.8e-05,0.000301,0.001081,0.001585,0.001259,0.00165,0.000111
"n_obs:r_factor:d_skew",8,0.269331,0.033666,1.179798,0.312868,0.000491,"",0.000414,0.001119,0.009114,0.005928,0.008499,0.000793,0.000584,0.000735,0.001668,0.002381,0.002629,0.002452,0.000327
"n_obs:r_factor:w_lambda",4,0.615344,0.153836,5.391005,0.000384,0.001121,"",0.000973,0.000624,0.003185,0.004888,0.001697,0.000959,0.004823,0.001613,0.00238,0.0096,0.001891,0.006843,0.002128
"n_obs:w_error:d_skew",8,1.402771,0.175346,6.144814,0,0.002556,"",0.000483,0.000579,0.015873,0.012953,0.002287,0.000418,0.000335,0.000136,0.010596,0.005333,0.021152,0.010949,0.001848
"n_obs:w_error:w_lambda",4,0.73278,0.183195,6.419859,7e-05,0.001335,"",0.001008,0.00016,0.003198,0.003338,0.000477,0.000117,0.000157,8e-05,0.002096,0.009004,0.005671,0.01255,0.000597
"n_obs:d_skew:w_lambda",8,0.484134,0.060517,2.12074,0.035439,0.000882,"",0.000766,0.001105,0.018083,0.012427,0.000693,0.000242,0.000518,0.000926,0.003183,0.013264,0.01041,0.016006,0.000468
"n_factor:r_factor:w_error",2,0.114931,0.057466,2.013819,0.136176,0.000209,"",0.000659,0.000408,0.000324,0.000345,0.000871,0.00024,9.4e-05,0.000256,0.001093,0.000669,0.001907,0.000217,6.8e-05
"n_factor:r_factor:d_skew",4,0.098588,0.024647,0.863725,0.486681,0.00018,"",0.00067,0.000871,0.00339,0.002818,0.002002,0.00034,0.000222,0.000477,0.000409,8.6e-05,0.00231,0.000238,0.002929
"n_factor:r_factor:w_lambda",2,3.228861,1.61443,56.575886,0,0.005883,"",0.020175,0.008639,0.003428,0.000762,0.016646,0.006342,0.004887,0.001965,0.000359,0.002819,0.000119,0.002556,0.008031
"n_factor:w_error:d_skew",4,0.123159,0.03079,1.078996,0.368012,0.000224,"",0.000606,0.00027,0.001917,0.000641,0.000277,0.000219,0.000579,0.000164,0.001849,0.000871,0.002835,0.001921,0.000686
"n_factor:w_error:w_lambda",2,0.101742,0.050871,1.78271,0.170844,0.000185,"",0.00079,0.00092,0.001092,0.000139,0.000276,1e-06,9.8e-05,0.000121,0.00161,0.000428,0.003628,0.000366,0.000194
"n_factor:d_skew:w_lambda",4,0.198019,0.049505,1.734839,0.143718,0.000361,"",0.000503,0.000732,0.003857,0.001314,0.000746,0.000288,0.000301,0.000389,0.000301,0.001404,0.001125,0.002754,0.002223
"r_factor:w_error:d_skew",2,0.267442,0.133721,4.686104,0.010259,0.000487,"",0.00069,0.000657,3e-05,0.001053,0.000713,1.2e-05,0.000163,0.000395,0.00059,0.000799,0.000414,0.00145,9.8e-05
"r_factor:w_error:w_lambda",1,0.063045,0.063045,2.209349,0.138751,0.000115,"",0.001118,0.000957,4.5e-05,0.001505,4e-05,7e-05,0.000393,5.4e-05,0.000323,5.3e-05,0.00066,8.2e-05,0.000183
"r_factor:d_skew:w_lambda",2,0.148805,0.074402,2.60735,0.076235,0.000271,"",4.3e-05,0.000199,0.001561,0.001946,8.3e-05,0.00017,0.000701,0.000184,0.000342,0.001982,0.000357,0.003034,0.000214
"w_error:d_skew:w_lambda",2,0.247594,0.123797,4.338333,0.014309,0.000451,"",0.000885,0.000298,0.007533,0.004241,5.3e-05,0.000143,5e-06,0.000123,0.001129,0.002571,0.001351,0.004467,0.000568
"Residuals",200,5.707133,0.028536,NA,NA,0.010399,"SMALL",0.018575,0.014878,0.068378,0.050049,0.018584,0.014336,0.011621,0.011651,0.043312,0.032682,0.06872,0.045925,0.017486
"method",12,55.829218,4.652435,416.596182,0,0.211685,"LARGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:method",48,24.699372,0.51457,46.076519,0,0.093651,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:method",24,13.39726,0.558219,49.985006,0,0.050798,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:method",12,27.090674,2.257556,202.14991,0,0.102718,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:method",12,12.020958,1.001747,89.700081,0,0.045579,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:method",24,6.200121,0.258338,23.132573,0,0.023509,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_lambda:method",12,23.964682,1.997057,178.823835,0,0.090866,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:n_factor:method",96,3.916219,0.040794,3.65284,0,0.014849,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:r_factor:method",48,6.669237,0.138942,12.441419,0,0.025287,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_error:method",48,5.506049,0.114709,10.2715,0,0.020877,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:d_skew:method",96,4.329031,0.045094,4.03789,0,0.016414,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_lambda:method",48,7.492346,0.156091,13.976922,0,0.028408,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:r_factor:method",24,3.306368,0.137765,12.336017,0,0.012537,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_error:method",24,1.029601,0.0429,3.841429,0,0.003904,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:d_skew:method",48,1.767971,0.036833,3.298138,0,0.006704,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_lambda:method",24,4.636989,0.193208,17.300545,0,0.017582,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_error:method",12,0.703183,0.058599,5.247132,0,0.002666,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:d_skew:method",24,2.124881,0.088537,7.927902,0,0.008057,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_lambda:method",12,8.289744,0.690812,61.857853,0,0.031432,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
