"","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"","No","Yes","0","1","2","Weak","Strong","High","Low","2","4","6","100","300","500","700","900"
"","Percent correct","","","","","","","","","","","","","","","",""
"PA-PCA-m","71.7","58.4","64.9","65.6","64.7","76.5","53.6","81.4","48.7","83","66.5","45.7","47.2","64.5","69.4","71.5","72.6"
"PA-PCA-95","66.1","60.3","63.4","63.6","62.6","78","48.5","77.8","48.7","85.1","63","41.5","38.6","62.8","68.9","72.2","73.5"
"PA-PAF-95","78.1","22.8","50.7","50.3","50.4","55.1","45.8","61.6","39.2","63.9","49.4","38","46.4","54.9","50.9","49.7","50.2"
"PA-MRFA-m","53.7","52.1","53.1","53.8","51.9","72.4","33.4","64.2","41.6","76.1","48.9","33.8","43.1","54.1","55.7","56","55.8"
"RPA-PCA-95","76.7","20.7","48.7","48.6","48.8","53.3","44.1","56.8","40.6","61.8","47.3","37","43.9","53.9","49.7","48.1","47.9"
"RPA-PAF-95","74.8","15.9","45.4","46","44.7","49.6","41.1","51.5","39.2","55.6","44.8","35.7","42.2","48.6","45.6","45.2","45.2"
"CD","67.3","35.6","47","50.5","56.8","58.2","44.8","65.5","37.4","64.6","51.9","37.8","33.7","54.7","56","56.7","56.2"
"","Mean error","","","","","","","","","","","","","","","",""
"PA-PCA-m","-0.37","0.11","-0.12","-0.12","-0.14","0.18","-0.44","-0.23","-0.02","0.14","-0.03","-0.49","-0.58","-0.16","-0.03","0.04","0.09"
"PA-PCA-95","-0.58","-0.25","-0.41","-0.4","-0.43","-0.06","-0.77","-0.31","-0.52","0.01","-0.32","-0.93","-1.23","-0.46","-0.23","-0.11","-0.04"
"PA-PAF-95","-0.24","1.37","0.58","0.58","0.54","0.75","0.38","0.51","0.62","0.44","0.65","0.6","-0.75","0.42","0.84","1.07","1.23"
"PA-MRFA-m","-0.5","-0.41","-0.43","-0.43","-0.5","0.03","-0.94","-0.53","-0.38","-0.06","-0.42","-0.87","-0.68","-0.39","-0.39","-0.41","-0.4"
"RPA-PCA-95","-0.32","1.39","0.55","0.56","0.49","0.72","0.34","0.91","0.16","0.48","0.62","0.5","-0.93","0.21","0.77","1.15","1.46"
"RPA-PAF-95","-0.31","1.81","0.77","0.78","0.7","0.92","0.58","1.29","0.21","0.69","0.87","0.7","-0.87","0.38","1.02","1.45","1.78"
"CD","-0.62","0.26","-0.02","-0.05","-0.46","0.08","-0.44","0.23","-0.58","0.44","-0.01","-0.96","-1.48","-0.4","0.05","0.36","0.59"
"","Root mean squared error","","","","","","","","","","","","","","","",""
"PA-PCA-m","0.9","1.02","0.96","0.95","0.97","0.74","1.14","0.63","1.2","0.51","0.82","1.36","1.44","0.91","0.78","0.74","0.74"
"PA-PCA-95","1.16","1.09","1.12","1.11","1.15","0.73","1.41","0.76","1.4","0.41","0.92","1.67","1.88","1.07","0.82","0.73","0.68"
"PA-PAF-95","0.88","2.26","1.75","1.72","1.68","1.67","1.76","1.27","2.07","0.96","1.64","2.29","1.62","1.27","1.61","1.88","2.08"
"PA-MRFA-m","1.11","1.09","1.07","1.08","1.15","0.71","1.39","0.97","1.22","0.55","0.96","1.55","1.45","1.02","0.98","0.98","0.99"
"RPA-PCA-95","0.97","2.46","1.9","1.91","1.8","1.86","1.89","1.86","1.88","1.04","1.8","2.49","1.8","1.22","1.6","2.04","2.45"
"RPA-PAF-95","0.98","2.86","2.19","2.19","2.03","2.13","2.14","2.35","1.9","1.33","2.13","2.72","1.78","1.39","1.92","2.43","2.86"
"CD","1.39","1.76","1.66","1.54","1.55","1.36","1.79","1.22","1.89","1.05","1.36","2.15","2.3","1.38","1.24","1.3","1.47"
