"","Overall","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"RPA-PCA-m","3.92","2.73","4.83","4.79","3.96","2.75","4.04","3.8","3.89","3.96","1.84","3.4","5.59","5.51","3.55","3.2","3.3","3.59"
"RPA-PCA-95","1.93","1.97","1.9","1.61","1.79","2.33","1.78","2.08","1.34","2.38","0.77","1.68","2.79","3.07","2","1.5","1.28","1.18"
"RPA-PAF-m","3.23","2.59","3.77","3.69","3.27","2.66","3.4","3.06","3.39","3.07","1.58","2.7","4.65","5.39","3.14","2.11","2.01","2.2"
"RPA-PAF-95","2.02","2.06","1.99","1.68","1.86","2.45","1.88","2.16","1.42","2.48","0.87","1.77","2.9","3.08","2.12","1.61","1.42","1.39"
"CD","2.45","2.47","2.44","2.28","2.4","2.67","1.97","2.85","1.93","2.88","0.69","1.99","3.69","3.12","2.6","2.29","2.12","1.96"
"","","Percent correct (within +-1 range)","","","","","","","","","","","","","","","",""
"PA-PCA-m","77","77.4","76.6","82","78.7","70.3","82.2","71.9","87.5","66.5","93.2","78.9","59","55.2","75.2","81.7","85.8","87.2"
"PA-PCA-95","70.9","68.4","73.4","77.7","73.3","61.7","81","60.8","81.3","60.5","94.3","70","48.4","36.9","67.2","78.3","84.4","87.6"
"PA-PAF-m","35.5","46","24.9","42.8","33.8","29.7","36.9","34","40.2","30.7","52","32.3","22","45.4","36.9","32","30.4","32.6"
"PA-PAF-95","51.5","61.5","41.4","61.5","53","39.8","54.8","48.1","57.3","45.6","78.1","46.7","29.6","34.5","55.6","56.8","55.9","54.6"
"PA-MRFA-ev-m","71.9","71.2","72.6","76.9","74.7","64.1","76.1","67.7","85.9","57.8","86.1","72.3","57.3","53.4","71.3","75.5","78.7","80.6"
"PA-MRFA-ev-95","67.5","64.4","70.5","71.3","70","61","78","56.9","81.8","53.1","91","64.8","46.6","36.7","66.3","76.1","78.9","79.3"
"PA-MRFA-m","75.6","74.3","76.8","80.7","76.9","69","85","66.2","81.2","69.9","94.6","77.7","54.4","55.3","74.3","79.6","83.1","85.5"
"PA-MRFA-95","61.1","59.2","62.9","67","63","53.2","74","48.1","72","50.2","88.3","57.8","37.2","35.1","59","66.9","70.5","73.9"
"RPA-PCA-m","58","70.6","45.5","54.9","57.6","61.5","59.1","56.9","62.9","53.1","71.2","58.2","44.6","45.4","63","63.4","60.2","58.1"
"RPA-PCA-95","68.5","68.3","68.8","75.3","72","58.4","73.9","63.2","82.8","54.3","92.7","65.5","47.5","35.7","65","76.7","81.9","83.4"
"RPA-PAF-m","62.1","72.8","51.4","59.4","63.7","63.1","64.1","60.1","66.9","57.3","75.3","62.4","48.5","46.8","67.5","69.2","65.9","61.1"
"RPA-PAF-95","64.9","64.9","64.8","72.8","68.4","53.4","70.2","59.5","79.4","50.4","90","60.6","44","34.6","59.8","73.6","78.3","78.1"
"CD","58.8","58.4","59.3","64","61.2","51.3","68.5","49.1","73","44.7","97.5","49.4","29.5","37","54","62.8","67.9","72.4"
