"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs:w_lambda",4,2.57452,0.64363,23.935746,0,0.006103,"",0.019794,0.005271,NA,0.007632,NA,NA,0.004394,NA,NA,0.01193,NA,0.012963,0.015062
"n_factor:r_factor",2,5.276679,2.638339,98.116346,0,0.012508,"SMALL",0.039449,0.022184,NA,0.001819,NA,NA,0.025331,NA,NA,0.004129,NA,0.003906,0.004109
"n_factor:w_error",2,2.557218,1.278609,47.549777,0,0.006062,"",0.007168,0.002798,NA,0.007424,NA,NA,0.000349,NA,NA,0.008841,NA,0.010286,0.005192
"n_factor:d_skew",4,0.319866,0.079967,2.973849,0.020479,0.000758,"",0.000391,0.000383,NA,0.003717,NA,NA,0.000177,NA,NA,0.001895,NA,0.006707,0.000469
"n_factor:w_lambda",2,0.990123,0.495061,18.410675,0,0.002347,"",0.012685,0.00517,NA,0.004811,NA,NA,0.022213,NA,NA,0.005036,NA,0.006341,0.003583
"r_factor:w_error",1,1.534074,1.534074,57.050181,0,0.003636,"",0.008272,0.003102,NA,0.003647,NA,NA,0.001259,NA,NA,0.004162,NA,0.004264,0.000459
"r_factor:d_skew",2,0.006463,0.003232,0.120179,0.886825,1.5e-05,"",0.000982,0.000576,NA,0.004457,NA,NA,0.001393,NA,NA,0.000609,NA,0.000969,0.000392
"r_factor:w_lambda",1,6.481431,6.481431,241.035805,0,0.015364,"SMALL",0.049719,0.017785,NA,0.001398,NA,NA,0.102821,NA,NA,1.3e-05,NA,0.000564,0.005197
"w_error:d_skew",2,1.732547,0.866273,32.215559,0,0.004107,"",0.000161,3.4e-05,NA,0.029428,NA,NA,2e-05,NA,NA,0.008166,NA,0.015245,0.001645
"w_error:w_lambda",1,1.818051,1.818051,67.6109,0,0.00431,"",0.001348,0,NA,0.015536,NA,NA,6.4e-05,NA,NA,0.021125,NA,0.023551,0.003138
"d_skew:w_lambda",2,0.108273,0.054136,2.013258,0.136251,0.000257,"",0.000497,0.00023,NA,0.006512,NA,NA,1.4e-05,NA,NA,0.002935,NA,0.006041,0.013193
"n_obs:n_factor:r_factor",8,1.936375,0.242047,9.001401,0,0.00459,"",0.006922,0.011542,NA,0.005275,NA,NA,0.004901,NA,NA,0.003002,NA,0.003687,0.004014
"n_obs:n_factor:w_error",8,0.641874,0.080234,2.983805,0.003517,0.001522,"",0.001246,0.001109,NA,0.002164,NA,NA,0.000158,NA,NA,0.002438,NA,0.003673,0.002241
"n_obs:n_factor:d_skew",16,1.280529,0.080033,2.976324,0.000186,0.003035,"",0.00117,0.002082,NA,0.010132,NA,NA,0.003073,NA,NA,0.004334,NA,0.01676,0.00247
"n_obs:n_factor:w_lambda",8,4.372301,0.546538,20.325009,0,0.010364,"SMALL",0.005459,0.005484,NA,0.008966,NA,NA,0.00146,NA,NA,0.020902,NA,0.026062,0.012448
"n_obs:r_factor:w_error",4,0.384782,0.096196,3.577386,0.007657,0.000912,"",0.001872,0.001669,NA,0.000353,NA,NA,5.8e-05,NA,NA,0.001585,NA,0.00165,0.000111
"n_obs:r_factor:d_skew",8,0.460836,0.057605,2.142237,0.033539,0.001092,"",0.000414,0.001119,NA,0.005928,NA,NA,0.000584,NA,NA,0.002381,NA,0.002452,0.000327
"n_obs:r_factor:w_lambda",4,0.599808,0.149952,5.576514,0.000282,0.001422,"",0.000973,0.000624,NA,0.004888,NA,NA,0.004823,NA,NA,0.0096,NA,0.006843,0.002128
"n_obs:w_error:d_skew",8,1.255459,0.156932,5.836109,1e-06,0.002976,"",0.000483,0.000579,NA,0.012953,NA,NA,0.000335,NA,NA,0.005333,NA,0.010949,0.001848
"n_obs:w_error:w_lambda",4,0.57253,0.143132,5.322905,0.000429,0.001357,"",0.001008,0.00016,NA,0.003338,NA,NA,0.000157,NA,NA,0.009004,NA,0.01255,0.000597
"n_obs:d_skew:w_lambda",8,0.757476,0.094685,3.521191,0.000783,0.001796,"",0.000766,0.001105,NA,0.012427,NA,NA,0.000518,NA,NA,0.013264,NA,0.016006,0.000468
"n_factor:r_factor:w_error",2,0.090712,0.045356,1.686734,0.187746,0.000215,"",0.000659,0.000408,NA,0.000345,NA,NA,9.4e-05,NA,NA,0.000669,NA,0.000217,6.8e-05
"n_factor:r_factor:d_skew",4,0.124442,0.03111,1.156955,0.3311,0.000295,"",0.00067,0.000871,NA,0.002818,NA,NA,0.000222,NA,NA,8.6e-05,NA,0.000238,0.002929
"n_factor:r_factor:w_lambda",2,2.666453,1.333227,49.580928,0,0.006321,"",0.020175,0.008639,NA,0.000762,NA,NA,0.004887,NA,NA,0.002819,NA,0.002556,0.008031
"n_factor:w_error:d_skew",4,0.173165,0.043291,1.609943,0.173181,0.00041,"",0.000606,0.00027,NA,0.000641,NA,NA,0.000579,NA,NA,0.000871,NA,0.001921,0.000686
"n_factor:w_error:w_lambda",2,0.101426,0.050713,1.885944,0.154373,0.00024,"",0.00079,0.00092,NA,0.000139,NA,NA,9.8e-05,NA,NA,0.000428,NA,0.000366,0.000194
"n_factor:d_skew:w_lambda",4,0.312557,0.078139,2.905895,0.022857,0.000741,"",0.000503,0.000732,NA,0.001314,NA,NA,0.000301,NA,NA,0.001404,NA,0.002754,0.002223
"r_factor:w_error:d_skew",2,0.275394,0.137697,5.12076,0.006779,0.000653,"",0.00069,0.000657,NA,0.001053,NA,NA,0.000163,NA,NA,0.000799,NA,0.00145,9.8e-05
"r_factor:w_error:w_lambda",1,0.076899,0.076899,2.859754,0.092379,0.000182,"",0.001118,0.000957,NA,0.001505,NA,NA,0.000393,NA,NA,5.3e-05,NA,8.2e-05,0.000183
"r_factor:d_skew:w_lambda",2,0.208995,0.104497,3.886116,0.022093,0.000495,"",4.3e-05,0.000199,NA,0.001946,NA,NA,0.000701,NA,NA,0.001982,NA,0.003034,0.000214
"w_error:d_skew:w_lambda",2,0.221257,0.110629,4.114127,0.017743,0.000524,"",0.000885,0.000298,NA,0.004241,NA,NA,5e-06,NA,NA,0.002571,NA,0.004467,0.000568
"Residuals",200,5.377982,0.02689,NA,NA,0.012748,"SMALL",0.018575,0.014878,NA,0.050049,NA,NA,0.011621,NA,NA,0.032682,NA,0.045925,0.017486
"method",6,19.392209,3.232035,276.175603,0,0.208671,"LARGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:method",24,4.257412,0.177392,15.158062,0,0.045812,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:method",12,2.045891,0.170491,14.568353,0,0.022015,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:method",6,8.005773,1.334296,114.014821,0,0.086147,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:method",6,3.988282,0.664714,56.799423,0,0.042916,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:method",12,1.113764,0.092814,7.930874,0,0.011985,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_lambda:method",6,5.278774,0.879796,75.178056,0,0.056803,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:n_factor:method",48,0.85534,0.01782,1.522674,0.012574,0.009204,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:r_factor:method",24,2.174501,0.090604,7.742079,0,0.023399,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_error:method",24,2.446209,0.101925,8.709467,0,0.026323,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:d_skew:method",48,1.334181,0.027795,2.375105,1e-06,0.014357,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_obs:w_lambda:method",24,2.923359,0.121807,10.408311,0,0.031457,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:r_factor:method",12,1.942486,0.161874,13.83203,0,0.020902,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_error:method",12,0.380308,0.031692,2.708092,0.001245,0.004092,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:d_skew:method",24,0.591134,0.024631,2.104672,0.001367,0.006361,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_factor:w_lambda:method",12,3.022827,0.251902,21.52491,0,0.032527,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_error:method",6,0.210535,0.035089,2.998351,0.006433,0.002265,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:d_skew:method",12,0.560128,0.046677,3.988551,4e-06,0.006027,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r_factor:w_lambda:method",6,5.191467,0.865244,73.934661,0,0.055863,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:d_skew:method",12,1.547488,0.128957,11.019331,0,0.016652,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_error:w_lambda:method",6,2.535887,0.422648,36.115024,0,0.027288,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d_skew:w_lambda:method",12,1.998745,0.166562,14.23264,0,0.021508,"SMALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Residuals",1806,21.135302,0.011703,NA,NA,0.227428,"LARGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
