"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs",4,76.276073,19.069018,709.151504,0,0.180804,"LARGE",0.14882,0.207235,NA,0.104781,NA,NA,0.095138,NA,NA,0.208316,NA,0.18647,0.145472
"n_factor",2,133.4946,66.7473,2482.243577,0,0.316435,"LARGE",0.242542,0.274859,NA,0.332118,NA,NA,0.298759,NA,NA,0.225778,NA,0.217175,0.33638
"r_factor",1,47.542989,47.542989,1768.060711,0,0.112696,"MEDIUM",0.115646,0.183231,NA,0.020719,NA,NA,0.260855,NA,NA,0.048632,NA,0.040482,0.095106
"w_error",1,5.47452,5.47452,203.59015,0,0.012977,"SMALL",0.007087,7e-06,NA,0.108999,NA,NA,4.8e-05,NA,NA,0.024589,NA,0.022134,0.003149
"d_skew",2,17.822603,8.911302,331.399488,0,0.042247,"SMALL",0.02821,0.033463,NA,0.068228,NA,NA,0.014962,NA,NA,0.030816,NA,0.031582,0.063253
"w_lambda",1,88.234916,88.234916,3281.339535,0,0.209152,"LARGE",0.243685,0.168941,NA,0.066188,NA,NA,0.120346,NA,NA,0.241473,NA,0.215757,0.21779
"n_obs:n_factor",8,1.289998,0.16125,5.996663,1e-06,0.003058,"",0.001474,0.003078,NA,0.001587,NA,NA,0.000925,NA,NA,0.00737,NA,0.006345,0.007695
"n_obs:r_factor",4,1.871153,0.467788,17.396425,0,0.004435,"",0.002281,0.015406,NA,0.010677,NA,NA,0.015334,NA,NA,0.002669,NA,0.001363,0.009029
"n_obs:w_error",4,4.240476,1.060119,39.424423,0,0.010052,"SMALL",0.004169,0.000572,NA,0.066429,NA,NA,0.000221,NA,NA,0.019693,NA,0.020318,0.002294
"n_obs:d_skew",8,0.333009,0.041626,1.54802,0.142736,0.000789,"",0.000592,0.001378,NA,0.002658,NA,NA,0.000247,NA,NA,0.005618,NA,0.003893,0.00806
